Date,Open,High,Low,Close,Adj Close,Volume
13-09-2021,17363.55078,17378.34961,17269.15039,17355.30078,17355.30078,241100
14-09-2021,17420.34961,17438.55078,17367.05078,17380,17380,230400
15-09-2021,17387.65039,17532.69922,17386.90039,17519.44922,17519.44922,388200
16-09-2021,17539.19922,17644.59961,17510.44922,17629.5,17629.5,503300
17-09-2021,17709.65039,17792.94922,17537.65039,17585.15039,17585.15039,508300
20-09-2021,17443.84961,17622.75,17361.80078,17396.90039,17396.90039,339100
21-09-2021,17450.5,17578.34961,17326.09961,17562,17562,363600
22-09-2021,17580.90039,17610.44922,17524,17546.65039,17546.65039,295200
23-09-2021,17670.84961,17843.90039,17646.55078,17822.94922,17822.94922,320500
24-09-2021,17897.44922,17947.65039,17819.40039,17853.19922,17853.19922,360100
27-09-2021,17932.19922,17943.5,17802.90039,17855.09961,17855.09961,295700
28-09-2021,17906.44922,17912.84961,17576.09961,17748.59961,17748.59961,398000
29-09-2021,17657.94922,17781.75,17608.15039,17711.30078,17711.30078,562200
30-09-2021,17718.90039,17742.15039,17585.34961,17618.15039,17618.15039,378600
01-10-2021,17531.90039,17557.15039,17452.90039,17532.05078,17532.05078,305800
04-10-2021,17615.55078,17750.90039,17581.34961,17691.25,17691.25,295800
05-10-2021,17661.34961,17833.44922,17640.90039,17822.30078,17822.30078,427000
06-10-2021,17861.5,17884.59961,17613.15039,17646,17646,395800
07-10-2021,17810.55078,17857.55078,17763.80078,17790.34961,17790.34961,419900
08-10-2021,17886.84961,17941.84961,17840.34961,17895.19922,17895.19922,324100
11-10-2021,17867.55078,18041.94922,17839.09961,17945.94922,17945.94922,375800
12-10-2021,17915.80078,18008.65039,17864.94922,17991.94922,17991.94922,355600
13-10-2021,18097.84961,18197.80078,18050.75,18161.75,18161.75,506700
14-10-2021,18272.84961,18350.75,18248.69922,18338.55078,18338.55078,538700
18-10-2021,18500.09961,18543.15039,18445.30078,18477.05078,18477.05078,469900
19-10-2021,18602.34961,18604.44922,18377.69922,18418.75,18418.75,368200
20-10-2021,18439.90039,18458.30078,18209.34961,18266.59961,18266.59961,371300
21-10-2021,18382.69922,18384.19922,18048,18178.09961,18178.09961,365900
22-10-2021,18230.69922,18314.25,18034.34961,18114.90039,18114.90039,324700
25-10-2021,18229.5,18241.40039,17968.5,18125.40039,18125.40039,418700
26-10-2021,18154.5,18310.44922,18099.30078,18268.40039,18268.40039,341400
27-10-2021,18295.84961,18342.05078,18167.90039,18210.94922,18210.94922,335200
28-10-2021,18187.65039,18190.69922,17799.44922,17857.25,17857.25,374200
29-10-2021,17833.05078,17915.84961,17613.09961,17671.65039,17671.65039,336500
01-11-2021,17783.15039,17954.09961,17697.09961,17929.65039,17929.65039,281200
02-11-2021,17970.90039,18012.25,17847.59961,17888.94922,17888.94922,296400
03-11-2021,17947.94922,17988.75,17757.94922,17829.19922,17829.19922,331000
04-11-2021,17935.05078,17947.55078,17900.59961,17916.80078,17916.80078,48500
